symbol,ZSTAT,P
POU2F3,1.7612,0.039104
SREBF2,1.7609,0.039128
RCCD1,1.7608,0.039135
GFM2,1.7604,0.039168
LGR6,1.7602,0.039187
NDFIP1,1.7601,0.039194
DPYSL3,1.7587,0.039316
RNASEL,1.7585,0.039331
SERPINC1,1.7581,0.039364
PTPDC1,1.758,0.039372
PTBP1,1.7563,0.039515
CSNK1A1L,1.7559,0.039549
ZNF783,1.7553,0.039601
LMO7DN,1.7552,0.039617
ZC3HAV1L,1.7549,0.039637
SPPL3,1.7543,0.03969
CIITA,1.7542,0.039695
TRIM31,1.7532,0.039781
ARPC3,1.7525,0.039848
SELK,1.7514,0.039938
SLC22A14,1.7509,0.039986
CHKA,1.7501,0.040047
ZMIZ1,1.7493,0.040116
NID1,1.7493,0.040116
KDM7A,1.7483,0.040204
MAP4K1,1.7465,0.040361
SEMA7A,1.7456,0.040444
SRP72,1.7446,0.04053
FAM161B,1.7446,0.040531
NOC3L,1.7444,0.040546
LOXL4,1.744,0.040575
CYTH3,1.7434,0.040628
TMEM120B,1.7412,0.040828
ATP5S,1.741,0.040844
RIC3,1.7401,0.040922
