symbol,ZSTAT,P
SMKR1,1.8009,0.035862
MED27,1.8007,0.035873
MTMR2,1.8004,0.035896
IL1F10,1.8004,0.0359
WDR53,1.8003,0.03591
APOBEC1,1.8001,0.035923
ZSWIM3,1.799,0.036005
MED6,1.7981,0.036077
PADI6,1.7981,0.036083
BIVM-ERCC5,1.7976,0.036122
SMG8,1.7974,0.036137
SCN1A,1.7957,0.036268
GLE1,1.7953,0.036305
WDR37,1.7944,0.036371
ASB15,1.7942,0.036387
ZMAT3,1.7939,0.036412
DOK6,1.7905,0.036686
HLA-B,1.7903,0.036707
CLOCK,1.79,0.036729
SEMA4G,1.7886,0.03684
FOXRED2,1.7875,0.036932
EFR3A,1.7873,0.036942
GNG11,1.7866,0.036998
PZP,1.7862,0.037037
FAM76B,1.7853,0.037103
SPATA2L,1.7853,0.037104
KNG1,1.7853,0.037108
FAM160B1,1.7844,0.037177
COASY,1.7839,0.037217
TMEM108,1.7826,0.037329
PPID,1.7824,0.037342
DPY19L2,1.782,0.037374
TMEM135,1.7802,0.037524
MLX,1.7798,0.037555
PLTP,1.7797,0.037564
CIDEC,1.7793,0.037594
CDC27,1.779,0.037618
OSTM1,1.778,0.037701
C19orf26,1.7779,0.037712
SBSPON,1.7778,0.037719
PTPRO,1.7766,0.037815
STK38,1.776,0.037869
RBM42,1.7755,0.037909
HDHD2,1.7748,0.037961
KLK6,1.7748,0.037962
UBA5,1.7746,0.037978
SLC35B1,1.774,0.038035
IL36B,1.7728,0.038128
DZIP1,1.7726,0.038144
OPTC,1.7725,0.038157
CHORDC1,1.7723,0.03817
MZF1,1.7722,0.03818
CDC5L,1.7712,0.038266
ATF4,1.7708,0.038294
UPK3A,1.7706,0.038316
GDF3,1.7701,0.038352
FBXL3,1.7699,0.038374
FLRT3,1.769,0.038445
ACOT13,1.7689,0.038459
RAD1,1.7688,0.038463
DOCK6,1.7687,0.038468
YLPM1,1.7685,0.038488
DHCR24,1.7679,0.038537
CCR5,1.7677,0.038557
RNF24,1.7666,0.038649
CFAP20,1.7664,0.038667
AIMP1,1.7664,0.038668
FBXL13,1.7645,0.038822
HHIPL1,1.7644,0.03883
AIF1,1.7641,0.038857
PRRC2A,1.7641,0.038857
ABHD6,1.7632,0.038931
CDC25C,1.7631,0.03894
CLUAP1,1.763,0.03895
RNASE7,1.763,0.038953
EIF3D,1.7626,0.03898
IFT52,1.7622,0.039016
TPBGL,1.7621,0.039024
LAMTOR1,1.7617,0.039056
FNDC7,1.7614,0.039084
IFI27L1,1.7589,0.039298
PRRX2,1.7576,0.03941
UPF1,1.7567,0.039485
EGLN1,1.7555,0.039585
RMI1,1.7554,0.039593
CCR10,1.7551,0.039619
TRAK1,1.7548,0.039645
TAF9,1.7546,0.039664
RTCA,1.7544,0.039685
SHC3,1.7541,0.039708
SPINK5,1.754,0.039717
WSB2,1.7534,0.039768
DAB2IP,1.7533,0.039778
MYO5C,1.7527,0.039829
NKX6-3,1.7523,0.039865
KIAA0368,1.7514,0.039934
RAP1A,1.7514,0.039938
CUL9,1.7512,0.039957
FBXO45,1.7508,0.039992
CCDC15,1.7499,0.040069
NPC1,1.7497,0.040081
PALM3,1.7455,0.040448
C14orf39,1.7443,0.040557
CSNK2A2,1.7434,0.040636
ZDHHC12,1.7413,0.040814
DNMBP,1.7406,0.040877
HNRNPL,1.7399,0.040935
SEL1L2,1.7393,0.040995
OSBPL1A,1.7377,0.041134
TMEM161B,1.7374,0.041162
GRID1,1.7371,0.041183
GLTPD2,1.7371,0.041187
MYL4,1.7364,0.041248
GLYAT,1.7362,0.041262
OR1D5,1.734,0.041455
OR1D2,1.7337,0.041484
DSE,1.7337,0.041489
DDX19B,1.7337,0.04149
RAD17,1.7334,0.041508
BZW1,1.7324,0.041599
MACC1,1.7311,0.041719
GDF5,1.7306,0.041765
LSM7,1.7305,0.04177
TNXB,1.7301,0.04181
TNFRSF21,1.7299,0.041825
CYP4F3,1.7293,0.04188
JAGN1,1.7286,0.04194
CPN1,1.7277,0.042019
BCO2,1.7259,0.042182
NCR3,1.7258,0.042188
MYLK2,1.7245,0.042307
GMNC,1.7237,0.042378
FIBIN,1.7219,0.042544
CCR2,1.7217,0.042558
SPPL2B,1.7213,0.042595
FBXO5,1.7211,0.042619
GALC,1.7205,0.042668
GLYATL2,1.7198,0.042732
EZH2,1.7197,0.042741
SAV1,1.7192,0.042787
IL17RE,1.7183,0.042872
GSTCD,1.7182,0.042878
TMEM14B,1.718,0.042894
EIF5,1.7166,0.04303
TAS2R5,1.7161,0.043068
MARVELD2,1.7157,0.043109
DLST,1.7157,0.043113
NSA2,1.7153,0.043149
RIPK2,1.7142,0.04325
ATP5G2,1.7133,0.04333
HSD17B1,1.7131,0.043346
LOC100996273,1.7127,0.043381
HSPB11,1.7118,0.043469
REC8,1.7109,0.04355
UBE2M,1.7085,0.043768
SLC37A4,1.708,0.043816
MT1X,1.7079,0.043831
POU4F3,1.7069,0.043922
REG3G,1.7053,0.044072
TM9SF2,1.7047,0.044125
MED12L,1.7046,0.044134
ZBBX,1.704,0.044192
POR,1.7038,0.044213
PPAPDC2,1.7016,0.044413
FAM178A,1.7014,0.044433
SLC36A4,1.7012,0.04445
KRT31,1.6963,0.044913
HIST3H3,1.696,0.044941
ID3,1.6959,0.044955
NAALAD2,1.6956,0.044981
ZNF629,1.695,0.045036
INPP4A,1.6948,0.045053
TRAF3IP2,1.6948,0.045061
SUMO4,1.6943,0.045106
BEND7,1.6941,0.045123
NUDT16,1.6941,0.045125
TRMT11,1.6931,0.045216
TAS2R4,1.693,0.045225
RPP25,1.693,0.045229
